<<Start_Log>> 
[2015:09:24:02:47:00]	sCCSettingData::Init()
[2015:09:24:02:47:01]	LOCKKEY ==>[10666]
[2015:09:24:02:47:01]	Cpu Frequency 3093.01
[2015:09:24:02:47:01]	System Mem 4055
[2015:09:24:02:47:01]	Texture Mem 1989
[2015:09:24:02:47:01]	sCCSettingData::Init()
[2015:09:24:02:47:02]	[NearLonget]OldUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]OldUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	[NearLonget]NewUser InitLongNearRankerInfo()
[2015:09:24:02:47:02]	Loading Xml File Localize/ENG/Sounds\Tsound_ingame_voice\Tsound_ingame_voice.xml
[2015:09:24:02:47:02]	network ini ip : 54.84.216.229 port : 5000
[2015:09:24:02:47:02]	ConnectToServer In
[2015:09:24:02:47:02]	Expand Info : Sensor err ignore mode.
[2015:09:24:02:47:02]	Expand Info : Connect FTP test server mode.
[2015:09:24:02:47:02]	Expand Info : Connect FTP AWS mode.
[2015:09:24:02:47:02]	CreateExpandAPP Call. Command Info 10666 6 52
[2015:09:24:02:47:04]	[Network.ini] GPServerIP, 222.231.18.41, GPPort, 5005,
[2015:09:24:02:47:04]	sCCSettingData::Init()
[2015:09:24:02:47:04]	sCCSettingData::Init()
[2015:09:24:02:47:04]	sCCSettingData::Init()
[2015:09:24:02:47:04]	network ini WebNickImageFolder : http://s3.amazonaws.com/global.image/global.qa/ca/upload/nick_img/
[2015:09:24:02:47:04]	network ini WebGLFBtnFolder : http://s3.amazonaws.com/global.image/global.qa/ca/upload/compe/
[2015:09:24:02:47:04]	network ini EventNormalizeBannerAddress : http://s3.amazonaws.com/global.image/global.qa/ca/upload/event
[2015:09:24:02:47:04]	network ini EventNormalizeObjAddress : http://s3.amazonaws.com/global.image/global.qa/ca/upload/event
[2015:09:24:02:47:04]	[SCHEDULER] Not found 77 scheduler
[2015:09:24:02:47:04]	[SCHEDULER] Not found 76 scheduler
[2015:09:24:02:47:04]	[GAME] ChangeState T_STATE_LOBBY
[2015:09:24:02:47:04]	HD Check!! : NVIDIA GeForce GTX 660  ,Windows 64 bit SP 1 (build 6.1.7601),600,10666,1024,768
[2015:09:24:02:47:04]	[GAME] UnloadResource
[2015:09:24:02:47:04]	Expand Validation Check Result GZExpandSensor.dll : 0
[2015:09:24:02:47:04]	Expand Validation Check Result GZExpandNasmoFTP.dll : 0
[2015:09:24:02:47:05]	sCCSettingData::Init()
[2015:09:24:02:47:05]	[ Framework System ] StartRegistration() : Framework = Intro
[2015:09:24:02:47:05]	[GS_BILLING] Change selected cc, id = -1
[2015:09:24:02:47:05]	[GS_BILLING] Change course, iNumCourses, 2, iStartHole, 0, iTotalHoles, 18,
[2015:09:24:02:47:05]	[BILLING] Game Mode = 4 , Game Type = 3
[2015:09:24:02:47:05]	[ Framework System ] ChangeRegistration() : Framework = Intro
[2015:09:24:02:47:05]	CDxCaptureManager InitCapManager Find Device 713x BDA Analog Capture
[2015:09:24:02:47:05]	CDxCaptureManager InitCapManager Find Device 713x BDA Analog Capture
[2015:09:24:02:47:05]	CSwingMotion OnCreateDevice Call.
[2015:09:24:02:47:05]	[CNetManager] ConnectToGameServer Success, m_strIP : 54.84.216.229, m_strPort 5000
[2015:09:24:02:47:05]	EncryptionText Compare Fail, 10666, 0, DC9C28551A57197E8061D3499E7373F6070766CB27B92B15FC62C958E73919C3FC62C958E73919C300, F959A065D0ACCE95B073895034A4885612C151EA9A19984760045530CEC76F6CFC62C958E73919C300
[2015:09:24:02:47:05]	[CNetManager] SendVersionCheckRType : HD Flag = 0
[2015:09:24:02:47:05]	TPCS_RTypeVersion - nMachineCode : 10666, nVersion : 3040, CLIENT_PACKET_VER 3040, Info = F959A065D0ACCE95B073895034A4885612C151EA9A19984760045530CEC76F6CFC62C958E73919C300
[2015:09:24:02:47:05]	[CNetManager::]ProcUserMsg wHeader = 205 wMsgIdx = 0
[2015:09:24:02:47:05]	<IGA> CNetManager::RecvADServerState() : Packet : [1]
[2015:09:24:02:47:05]	[ CNetManager::IsConnected ] On-Line
[2015:09:24:02:47:05]	[NetWork State] = [On-Line]
[2015:09:24:02:47:05]	CDxCapture SetCaptureFile Front2.Avi
